YEAR,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD,ABENOTHER,ABENMCARE,ABENMCAID,ABENSSI,ABENSNAP,ABENWIC,ABENHOUSING,ABENTANF,ABENVET,ADIVS_ADJ,ASOCSEC_ADJ,ACHARITY,ASALT,ASCHCI_ADJ,ASCHCL_ADJ,ASCHEI_ADJ,ASCHEL_ADJ
2011, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.0000 , 1.0000 , 1.0000 , 1.0000 , 1.0000 , 1.0000 , 1.0000 , 1.0000 
2012, 1.044 , 0.950 , 1.105 , 1.021 , 1.037 , 1.033 , 1.049 , 0.956 , 1.166 , 0.927 , 0.924 , 1.328 , 1.590 , 1.028 , 0.771 , 0.923 , 0.992 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.0639 , 1.0269 , 1.0651 ,1.0486, 1.0163 , 1.0166 , 1.0439 , 1.0431 
2013, 1.013 , 1.142 , 1.034 , 1.015 , 1.025 , 1.020 , 0.995 , 1.050 , 0.997 , 1.013 , 0.894 , 0.819 , 0.776 , 1.015 , 0.729 , 0.896 , 0.993 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.0639 , 1.0269 , 1.0651 ,1.0486, 1.0163 , 1.0166 , 1.0439 , 1.0431 
2014, 1.029 , 0.932 , 0.977 , 1.016 , 1.024 , 1.040 , 1.041 , 1.030 , 1.076 , 0.991 , 0.926 , 1.176 , 1.388 , 1.005 , 0.641 , 0.971 , 0.993 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.0639 , 1.0269 , 1.0651 ,1.0486, 1.0163 , 1.0166 , 1.0439 , 1.0431 
2015, 1.044 , 0.508 , 1.000 , 1.001 , 1.026 , 1.042 , 1.046 , 1.046 , 1.000 , 1.000 , 0.993 , 1.157 , 1.005 , 1.016 , 0.911 , 1.052 , 1.054 , 1.023 , 1.042 , 1.019 , 1.103 , 1.008 , 1.027 , 1.133 , 1.047 , 1.0639 , 1.0269 , 1.0651 ,1.0486, 1.0163 , 1.0166 , 1.0439 , 1.0431 
2016, 1.022 , 1.071 , 0.985 , 1.013 , 1.038 , 1.021 , 0.964 , 0.964 , 0.985 , 0.985 , 1.078 , 1.004 , 0.877 , 1.005 , 0.782 , 1.030 , 1.097 , 1.012 , 1.010 , 0.993 , 0.990 , 1.003 , 1.016 , 0.828 , 1.105 , 1.0639 , 1.0269 , 1.0651 ,1.0486, 1.0163 , 1.0166 , 1.0439 , 1.0431 
2017, 1.051 , 0.875 , 0.960 , 1.021 , 1.025 , 1.038 , 1.131 , 1.131 , 0.960 , 0.960 , 1.087 , 1.165 , 1.348 , 1.005 , 0.997 , 1.060 , 1.012 , 1.031 , 1.015 , 0.982 , 1.000 , 0.999 , 1.064 , 1.000 , 1.000 , 1.0639 , 1.0269 , 1.0651 ,1.0486, 1.0163 , 1.0166 , 1.0439 , 1.0431 
2018, 1.047 , 0.708 , 1.026 , 1.025 , 1.020 , 1.042 , 1.047 , 1.047 , 1.026 , 1.026 , 1.089 , 1.078 , 1.098 , 1.019 , 0.923 , 1.056 , 1.103 , 1.045 , 1.046 , 1.006 , 1.000 , 1.003 , 1.035 , 1.000 , 1.000 , 1.078 , 1.019 , 1.047 , 1.047 , 1.047 , 1.047 , 1.026 , 1.026 
2019, 1.036 , 1.167 , 0.992 , 1.018 , 1.028 , 1.039 , 1.033 , 1.033 , 0.992 , 0.992 , 1.003 , 1.028 , 1.066 , 1.030 , 0.941 , 1.044 , 1.054 , 1.052 , 1.046 , 1.001 , 1.000 , 1.003 , 1.035 , 1.000 , 1.000 , 1.028 , 1.030 , 1.036 , 1.036 , 1.033 , 1.033 , 0.992 , 0.992 
2020, 1.024 , 0.890 , 0.959 , 1.010 , 1.032 , 0.962 , 0.971 , 0.971 , 0.959 , 0.959 , 0.961 , 0.953 , 0.974 , 1.025 , 1.034 , 1.032 , 0.997 , 1.051 , 1.046 , 1.003 , 1.000 , 1.004 , 1.035 , 1.000 , 1.000 , 0.953 , 1.025 , 1.024 , 1.024 , 0.971 , 0.971 , 0.959 , 0.959 
