irsstub,incrange
0,All returns
1,No adjusted gross income
2,"$1 under $5,000"
3,"$5,000 under $10,000"
4,"$10,000 under $15,000"
5,"$15,000 under $20,000"
6,"$20,000 under $25,000"
7,"$25,000 under $30,000"
8,"$30,000 under $40,000"
9,"$40,000 under $50,000"
10,"$50,000 under $75,000"
11,"$75,000 under $100,000"
12,"$100,000 under $200,000"
13,"$200,000 under $500,000"
14,"$500,000 under $1,000,000"
15,"$1,000,000 under $1,500,000"
16,"$1,500,000 under $2,000,000"
17,"$2,000,000 under $5,000,000"
18,"$5,000,000 under $10,000,000"
19,"$10,000,000 or more"
