common_stub,incrange,variable,value,src,table_description,column_description,excel_column
0,All returns,agi,11009900155000.0,17in11si.xls,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit,D
0,All returns,nret_all,152903231.0,17in11si.xls,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns,B
0,All returns,nret_txbl,103747043.0,17in11si.xls,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income,G
0,All returns,agi_hoh,876628767000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status","Adjusted gross income less deficit, heads of households",AP
0,All returns,agi_mfjss,7107018406000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status","Adjusted gross income less deficit, married filing joint and surviving spouses",P
0,All returns,agi_mfs,218411124000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status","Adjusted gross income less deficit, married filing separately",AC
0,All returns,agi_single,2807841859000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status","Adjusted gross income less deficit, single",BC
0,All returns,exemption,1155506023000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Exemption amount,D
0,All returns,item_ded,1402091664000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Total itemized deductions,F
0,All returns,nret_hoh,21894095.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of heads of households,AO
0,All returns,nret_item,46852675.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with itemized deductions,E
0,All returns,nret_mfjss,54774397.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of married persons filing jointly and returns of surviving spouses,O
0,All returns,nret_mfs,3212807.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of married persons filing separately,AB
0,All returns,nret_sd,104013115.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with standard deduction,G
0,All returns,nret_single,73021932.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of single persons,BB
0,All returns,nret_taxac,103730078.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with income tax after credits,K
0,All returns,nret_taxtot,103747043.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with total income tax,M
0,All returns,nret_ti,119045254.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with taxable income,I
0,All returns,sd,906750425000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Standard deduction,H
0,All returns,taxac,1581523123000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Income tax after credits,L
0,All returns,taxtot,1605281768000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Total income tax,N
0,All returns,ti,8008418180000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Taxable income,J
0,All returns,amt,36404112000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Alternative minimum tax,EI
0,All returns,busprofnetinc,416010104000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Business or professional net income,U
0,All returns,busprofnetloss,-69637956000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Business or professional net loss,W
0,All returns,cgdist,11371193000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Capital gains distributions,Y
0,All returns,cggross,859894631000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Capital gains gross taxable,AA
0,All returns,cgloss,-16779101000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Capital loss taxable,AC
0,All returns,estateinc,35105233000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Estate and trust income,BI
0,All returns,estateloss,-3977699000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Estate and trust loss,BK
0,All returns,exemptint,60058772000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Tax-exempt interest,K
0,All returns,iradist,286496949000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income", Individual Retirement Arrangements (IRA) distributions,AI
0,All returns,itemded,1402091664000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Total itemized deductions,EA
0,All returns,n_exemptions,292661182.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of exemptions,EB
0,All returns,nret_amt,5075419.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with alternative minimum tax,EH
0,All returns,nret_busprofnetinc,19436036.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with business or professional net income,T
0,All returns,nret_busprofnetloss,6462796.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with business or professional net loss,V
