
Regrown reweighted puf ipopt method, georeweighted lsq, reweighted ipopt, compared to IRS values, run on 2020-11-17

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

     common_stub     incrange         pufvar              target                 puf            diff  pdiff  ipdiff                                                                    column_description
203            0  All returns       nret_all         152,903,231         152,768,127        -135,104  -0.1%   -0.1%                                                                     Number of returns
194            0  All returns          mars1          73,021,932          72,962,758         -59,174  -0.1%   -0.1%                                                   Number of returns of single persons
198            0  All returns          mars2          54,774,397          54,720,546         -53,851  -0.1%   -0.1%  Number of returns of married persons filing jointly and returns of surviving spouses
202            0  All returns          mars3           3,212,807           3,210,556          -2,251  -0.1%   -0.8%                                Number of returns of married persons filing separately
200            0  All returns          mars4          21,894,095          21,874,268         -19,827  -0.1%    0.1%                                              Number of returns of heads of households
183            0  All returns         c00100  11,009,900,155,000  11,002,069,466,689  -7,830,688,311  -0.1%   -0.0%                                                    Adjusted gross income less deficit
197            0  All returns         e00200   7,577,563,943,000   7,584,862,081,208   7,298,138,208   0.1%   -0.0%                                                                    Salaries and wages
199            0  All returns     e00200_nnz         126,264,481         126,299,386          34,905   0.0%    0.1%                                             Number of returns with salaries and wages
185            0  All returns         e00300     106,055,367,000     106,014,130,010     -41,236,990  -0.0%    0.0%                                                                      Taxable interest
196            0  All returns     e00300_nnz          44,193,009          44,152,123         -40,886  -0.1%    0.1%                                               Number of returns with taxable interest
195            0  All returns         e00600     282,336,042,000     282,275,199,429     -60,842,571  -0.0%    0.0%                                                                    Ordinary dividends
186            0  All returns     e00600_nnz          28,171,331          28,145,547         -25,784  -0.1%    0.1%                                             Number of returns with ordinary dividends
184            0  All returns      c01000pos     859,894,631,000     859,679,952,783    -214,678,217  -0.0%    2.8%                                                           Capital gains gross taxable
190            0  All returns  c01000pos_nnz          13,698,506          13,711,755          13,249   0.1%   21.1%                                    Number of returns with capital gains gross taxable
181            0  All returns      c01000neg     -16,779,101,000     -16,793,357,306     -14,256,306   0.1%   36.7%                                                                  Capital loss taxable
189            0  All returns  c01000neg_nnz           7,471,221           7,466,795          -4,426  -0.1%   26.2%                                           Number of returns with capital loss taxable
178            0  All returns         e01500   1,171,791,907,000   1,170,649,058,483  -1,142,848,517  -0.1%  -18.1%                                   Total pensions and annuities (including nontaxable)
188            0  All returns     e01500_nnz          30,610,779          30,627,274          16,495   0.1%    9.6%            Number of returns with total pensions and annuities (including nontaxable)
182            0  All returns         e02400     644,989,570,000     645,572,347,696     582,777,696   0.1%   42.4%                                                        Total Social Security benefits
201            0  All returns     e02400_nnz          28,967,603          28,948,202         -19,401  -0.1%   26.5%                                 Number of returns with total Social Security benefits
176            0  All returns         c02500     309,539,629,000     309,820,092,130     280,463,130   0.1%   28.5%                                                      Taxable Social Security benefits
175            0  All returns     c02500_nnz          20,929,431          20,919,284         -10,147  -0.0%   16.2%                               Number of returns with taxable Social Security benefits
192            0  All returns      e26270pos     833,430,151,000     833,948,419,153     518,268,153   0.1%    1.5%                                               Partnership or S corporation net income
191            0  All returns  e26270pos_nnz           6,240,408           6,244,461           4,053   0.1%   15.3%                        Number of returns with partnership or S corporation net income
179            0  All returns      e26270neg    -153,150,406,000    -153,157,464,010      -7,058,010   0.0%  -31.6%                                                 Partnership or S corporation net loss
193            0  All returns  e26270neg_nnz           2,872,745           2,874,099           1,354   0.0%   -0.3%                          Number of returns with partnership or S corporation net loss
170            0  All returns         c17000     102,533,387,000      94,479,490,750  -8,053,896,250  -7.9%   -6.5%                                                        Total medical expenses, capped
171            0  All returns     c17000_nnz          10,171,257           9,477,387        -693,870  -6.8%   -4.9%                                 Number of returns with total medical expenses, capped
177            0  All returns         c18300     624,820,806,000     624,846,955,703      26,149,703   0.0%    0.0%                                                                  Taxes paid deduction
173            0  All returns     c18300_nnz          46,431,232          46,434,823           3,591   0.0%   -0.1%                                           Number of returns with taxes paid deduction
