
Regrown reweighted puf, ipopt method, compared to IRS values, run on 2020-11-19

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

     common_stub     incrange         pufvar              target                 puf            diff  pdiff  ipdiff                                                                    column_description
636            0  All returns       nret_all         152,903,231         152,818,105         -85,126  -0.1%   -4.6%                                                                     Number of returns
638            0  All returns          mars1          73,021,932          72,981,651         -40,281  -0.1%   -7.8%                                                   Number of returns of single persons
611            0  All returns          mars2          54,774,397          54,730,410         -43,987  -0.1%   -2.6%  Number of returns of married persons filing jointly and returns of surviving spouses
612            0  All returns          mars3           3,212,807           3,210,243          -2,564  -0.1%  -28.1%                                Number of returns of married persons filing separately
691            0  All returns          mars4          21,894,095          21,895,800           1,705   0.0%    4.2%                                              Number of returns of heads of households
713            0  All returns         c00100  11,009,900,155,000  11,009,780,852,434    -119,302,566  -0.0%    1.7%                                                    Adjusted gross income less deficit
650            0  All returns         e00200   7,577,563,943,000   7,574,681,658,031  -2,882,284,969  -0.0%    1.3%                                                                    Salaries and wages
621            0  All returns     e00200_nnz         126,264,481         126,355,879          91,398   0.1%   -4.8%                                             Number of returns with salaries and wages
693            0  All returns         e00300     106,055,367,000     106,063,046,790       7,679,790   0.0%    0.0%                                                                      Taxable interest
591            0  All returns     e00300_nnz          44,193,009          44,236,309          43,300   0.1%   21.0%                                               Number of returns with taxable interest
665            0  All returns         e00600     282,336,042,000     282,400,806,268      64,764,268   0.0%    2.9%                                                                    Ordinary dividends
610            0  All returns     e00600_nnz          28,171,331          28,194,338          23,007   0.1%    4.4%                                             Number of returns with ordinary dividends
701            0  All returns      c01000pos     859,894,631,000     859,937,296,900      42,665,900   0.0%   -0.4%                                                           Capital gains gross taxable
599            0  All returns  c01000pos_nnz          13,698,506          13,685,754         -12,752  -0.1%  -10.1%                                    Number of returns with capital gains gross taxable
613            0  All returns      c01000neg     -16,779,101,000     -16,766,248,737      12,852,263  -0.1%  -21.8%                                                                  Capital loss taxable
656            0  All returns  c01000neg_nnz           7,471,221           7,473,277           2,056   0.0%  -15.1%                                           Number of returns with capital loss taxable
626            0  All returns         e01500   1,171,791,907,000   1,171,037,077,722    -754,829,278  -0.1%   -0.9%                                   Total pensions and annuities (including nontaxable)
674            0  All returns     e01500_nnz          30,610,779          30,615,687           4,908   0.0%   -2.8%            Number of returns with total pensions and annuities (including nontaxable)
639            0  All returns         e02400     644,989,570,000     644,635,929,447    -353,640,553  -0.1%  -12.2%                                                        Total Social Security benefits
702            0  All returns     e02400_nnz          28,967,603          28,966,245          -1,358  -0.0%  -11.0%                                 Number of returns with total Social Security benefits
635            0  All returns         c02500     309,539,629,000     309,363,833,617    -175,795,383  -0.1%   -1.4%                                                      Taxable Social Security benefits
609            0  All returns     c02500_nnz          20,929,431          20,946,740          17,309   0.1%    2.4%                               Number of returns with taxable Social Security benefits
632            0  All returns      e26270pos     833,430,151,000     832,945,795,686    -484,355,314  -0.1%  -18.2%                                               Partnership or S corporation net income
641            0  All returns  e26270pos_nnz           6,240,408           6,237,087          -3,321  -0.1%   -7.2%                        Number of returns with partnership or S corporation net income
640            0  All returns      e26270neg    -153,150,406,000    -153,232,644,282     -82,238,282   0.1%    7.7%                                                 Partnership or S corporation net loss
671            0  All returns  e26270neg_nnz           2,872,745           2,873,268             523   0.0%    8.1%                          Number of returns with partnership or S corporation net loss
32             0  All returns         c17000     102,533,387,000      95,910,750,336  -6,622,636,664  -6.5%   -4.8%                                                        Total medical expenses, capped
37             0  All returns     c17000_nnz          10,171,257           9,674,785        -496,472  -4.9%   -3.2%                                 Number of returns with total medical expenses, capped
649            0  All returns         c18300     624,820,806,000     625,067,025,148     246,219,148   0.0%    2.9%                                                                  Taxes paid deduction
592            0  All returns     c18300_nnz          46,431,232          46,385,744         -45,488  -0.1%    1.2%                                           Number of returns with taxes paid deduction
603            0  All returns         c19200     313,944,112,000     314,217,752,839     273,640,839   0.1%   15.1%                                                               Interest paid deduction
597            0  All returns     c19200_nnz          34,327,403          34,360,028          32,625   0.1%    7.5%                                        Number of returns with interest paid deduction
91             0  All returns         c19700     256,064,685,000     255,757,016,458    -307,668,542  -0.1%   -1.5%                                                               Contributions deduction
86             0  All returns     c19700_nnz          37,979,015          38,056,255          77,240   0.2%    3.7%                                        Number of returns with contributions deduction
78             0  All returns         c04800   8,008,418,180,000   8,035,922,114,881  27,503,934,881   0.3%    0.9%                                                                        Taxable income
83             0  All returns     c04800_nnz         119,045,254         118,764,411        -280,843  -0.2%   -3.1%                                                 Number of returns with taxable income
38             0  All returns         c09200   1,581,523,123,000   1,656,842,066,063  75,318,943,063   4.8%    5.6%                                                              Income tax after credits
41             0  All returns     c09200_nnz         103,730,078         107,845,345       4,115,267   4.0%    0.7%                                       Number of returns with income tax after credits

2. Detailed report by AGI range for each variable:

     common_stub                      incrange    pufvar       target          puf     diff  pdiff  ipdiff column_description
