
Regrown reweighted puf, ipopt method, compared to IRS values, run on 2020-11-20

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

     common_stub     incrange         pufvar              target                 puf            diff  pdiff  ipdiff                                                                     column_description
679            0  All returns       nret_all         152,903,231         152,833,335         -69,896  -0.0%   -4.6%                                                                      Number of returns
689            0  All returns          mars1          73,021,932          72,992,051         -29,881  -0.0%   -7.8%                                                    Number of returns of single persons
673            0  All returns          mars2          54,774,397          54,746,928         -27,469  -0.1%   -2.6%   Number of returns of married persons filing jointly and returns of surviving spouses
637            0  All returns          mars3           3,212,807           3,210,139          -2,668  -0.1%  -28.1%                                 Number of returns of married persons filing separately
680            0  All returns          mars4          21,894,095          21,884,217          -9,878  -0.0%    4.2%                                               Number of returns of heads of households
699            0  All returns         c00100  11,009,900,155,000  11,006,448,776,555  -3,451,378,445  -0.0%    1.7%                                                     Adjusted gross income less deficit
691            0  All returns         e00200   7,577,563,943,000   7,574,713,786,691  -2,850,156,309  -0.0%    1.3%                                                                     Salaries and wages
646            0  All returns     e00200_nnz         126,264,481         126,356,243          91,762   0.1%   -4.8%                                              Number of returns with salaries and wages
729            0  All returns         e00300     106,055,367,000     106,068,026,418      12,659,418   0.0%    0.0%                                                                       Taxable interest
622            0  All returns     e00300_nnz          44,193,009          44,233,713          40,704   0.1%   21.0%                                                Number of returns with taxable interest
620            0  All returns         e00600     282,336,042,000     282,599,956,402     263,914,402   0.1%    2.9%                                                                     Ordinary dividends
628            0  All returns     e00600_nnz          28,171,331          28,196,314          24,983   0.1%    4.4%                                              Number of returns with ordinary dividends
624            0  All returns      c01000pos     859,894,631,000     860,686,232,582     791,601,582   0.1%   -0.4%                                                            Capital gains gross taxable
612            0  All returns  c01000pos_nnz          13,698,506          13,685,350         -13,156  -0.1%  -10.1%                                     Number of returns with capital gains gross taxable
633            0  All returns      c01000neg     -16,779,101,000     -16,764,687,247      14,413,753  -0.1%  -21.8%                                                                   Capital loss taxable
702            0  All returns  c01000neg_nnz           7,471,221           7,473,433           2,212   0.0%  -15.1%                                            Number of returns with capital loss taxable
656            0  All returns         e01500   1,171,791,907,000   1,171,074,910,128    -716,996,872  -0.1%   -0.9%                                    Total pensions and annuities (including nontaxable)
715            0  All returns     e01500_nnz          30,610,779          30,617,542           6,763   0.0%   -2.8%             Number of returns with total pensions and annuities (including nontaxable)
663            0  All returns         e02400     644,989,570,000     644,613,603,286    -375,966,714  -0.1%  -12.2%                                                         Total Social Security benefits
754            0  All returns     e02400_nnz          28,967,603          28,967,385            -218  -0.0%  -11.0%                                  Number of returns with total Social Security benefits
666            0  All returns         c02500     309,539,629,000     309,363,837,788    -175,791,212  -0.1%   -1.4%                                                       Taxable Social Security benefits
638            0  All returns     c02500_nnz          20,929,431          20,945,943          16,512   0.1%    2.4%                                Number of returns with taxable Social Security benefits
662            0  All returns      e26270pos     833,430,151,000     832,941,917,568    -488,233,432  -0.1%  -18.2%                                                Partnership or S corporation net income
664            0  All returns  e26270pos_nnz           6,240,408           6,236,787          -3,621  -0.1%   -7.2%                         Number of returns with partnership or S corporation net income
705            0  All returns      e26270neg    -153,150,406,000    -153,188,295,767     -37,889,767   0.0%    7.7%                                                  Partnership or S corporation net loss
747            0  All returns  e26270neg_nnz           2,872,745           2,872,845             100   0.0%    8.1%                           Number of returns with partnership or S corporation net loss
25             0  All returns         c17000     102,533,387,000      95,510,618,000  -7,022,769,000  -6.8%   -4.8%                                                         Total medical expenses, capped
28             0  All returns     c17000_nnz          10,171,257           9,650,995        -520,262  -5.1%   -3.2%                                  Number of returns with total medical expenses, capped
647            0  All returns         c18300     624,820,806,000     625,265,899,476     445,093,476   0.1%    2.9%                                                                   Taxes paid deduction
596            0  All returns     c18300_nnz          46,431,232          46,385,357         -45,875  -0.1%    1.2%                                            Number of returns with taxes paid deduction
632            0  All returns         c19200     313,944,112,000     314,213,933,255     269,821,255   0.1%   15.1%                                                                Interest paid deduction
609            0  All returns     c19200_nnz          34,327,403          34,360,588          33,185   0.1%    7.5%                                         Number of returns with interest paid deduction
611            0  All returns         c19700     256,064,685,000     255,818,230,271    -246,454,729  -0.1%   -1.5%                                                                Contributions deduction
78             0  All returns     c19700_nnz          37,979,015          38,078,879          99,864   0.3%    3.7%                                         Number of returns with contributions deduction
79             0  All returns         c04800   8,008,418,180,000   8,028,666,172,134  20,247,992,134   0.3%    0.9%                                                                         Taxable income
66             0  All returns     c04800_nnz         119,045,254         119,620,954         575,700   0.5%   -3.1%                                                  Number of returns with taxable income
89             0  All returns         c05800   1,662,837,203,000   1,664,502,868,612   1,665,665,612   0.1%    2.1%                         Income tax before credits (IRS definition, not PUF definition)
657            0  All returns     c05800_nnz         118,644,112         118,716,411          72,299   0.1%   -3.8%  Number of returns with income tax before credits (IRS definition, not PUF definition)
53             0  All returns      taxac_irs   1,581,523,123,000   1,595,619,529,391  14,096,406,391   0.9%    3.1%                                                               Income tax after credits
61             0  All returns  taxac_irs_nnz         103,730,078         104,423,306         693,228   0.7%   -3.0%                                        Number of returns with income tax after credits

2. Detailed report by AGI range for each variable:

     common_stub                      incrange    pufvar       target          puf     diff  pdiff  ipdiff column_description
