
Regrown reweighted puf, ipopt method, compared to IRS values, run on 2020-11-21

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

     common_stub     incrange         pufvar                  irsvar              target                 puf            diff  pdiff  ipdiff                                                                     column_description
710            0  All returns       nret_all                nret_all         152,903,231         152,833,175         -70,056  -0.0%   -4.6%                                                                      Number of returns
720            0  All returns          mars1             nret_single          73,021,932          72,991,786         -30,146  -0.0%   -7.8%                                                    Number of returns of single persons
702            0  All returns          mars2              nret_mfjss          54,774,397          54,746,989         -27,408  -0.1%   -2.6%   Number of returns of married persons filing jointly and returns of surviving spouses
662            0  All returns          mars3                nret_mfs           3,212,807           3,210,148          -2,659  -0.1%  -28.1%                                 Number of returns of married persons filing separately
711            0  All returns          mars4                nret_hoh          21,894,095          21,884,252          -9,843  -0.0%    4.2%                                               Number of returns of heads of households
730            0  All returns         c00100                     agi  11,009,900,155,000  11,006,463,581,664  -3,436,573,336  -0.0%    1.7%                                                     Adjusted gross income less deficit
722            0  All returns         e00200                   wages   7,577,563,943,000   7,574,714,858,578  -2,849,084,422  -0.0%    1.3%                                                                     Salaries and wages
671            0  All returns     e00200_nnz              nret_wages         126,264,481         126,356,297          91,816   0.1%   -4.8%                                              Number of returns with salaries and wages
767            0  All returns         e00300                  taxint     106,055,367,000     106,067,891,500      12,524,500   0.0%    0.0%                                                                       Taxable interest
647            0  All returns     e00300_nnz             nret_taxint          44,193,009          44,233,830          40,821   0.1%   21.0%                                                Number of returns with taxable interest
645            0  All returns         e00600                  orddiv     282,336,042,000     282,599,800,967     263,758,967   0.1%    2.9%                                                                     Ordinary dividends
653            0  All returns     e00600_nnz             nret_orddiv          28,171,331          28,196,333          25,002   0.1%    4.4%                                              Number of returns with ordinary dividends
639            0  All returns         c01000                   cgnet     843,115,530,000     843,920,112,084     804,582,084   0.1%    0.1%                                                         Net capital gains (calculated)
698            0  All returns     c01000_nnz              nret_cgnet          21,169,727          21,158,761         -10,966  -0.1%  -11.8%                                  Number of returns with net capital gains (calculated)
649            0  All returns      c01000pos                 cggross     859,894,631,000     860,684,790,653     790,159,653   0.1%   -0.4%                                                            Capital gains gross taxable
636            0  All returns  c01000pos_nnz            nret_cggross          13,698,506          13,685,353         -13,153  -0.1%  -10.1%                                     Number of returns with capital gains gross taxable
657            0  All returns      c01000neg                  cgloss     -16,779,101,000     -16,764,678,569      14,422,431  -0.1%  -21.8%                                                                   Capital loss taxable
735            0  All returns  c01000neg_nnz             nret_cgloss           7,471,221           7,473,408           2,187   0.0%  -15.1%                                            Number of returns with capital loss taxable
681            0  All returns         e01500                pensions   1,171,791,907,000   1,171,075,038,624    -716,868,376  -0.1%   -0.9%                                    Total pensions and annuities (including nontaxable)
752            0  All returns     e01500_nnz           nret_pensions          30,610,779          30,617,519           6,740   0.0%   -2.8%             Number of returns with total pensions and annuities (including nontaxable)
689            0  All returns         e02400               socsectot     644,989,570,000     644,610,814,903    -378,755,097  -0.1%  -12.2%                                                         Total Social Security benefits
791            0  All returns     e02400_nnz          nret_socsectot          28,967,603          28,967,322            -281  -0.0%  -11.0%                                  Number of returns with total Social Security benefits
693            0  All returns         c02500           socsectaxable     309,539,629,000     309,363,837,788    -175,791,212  -0.1%   -1.4%                                                       Taxable Social Security benefits
663            0  All returns     c02500_nnz      nret_socsectaxable          20,929,431          20,945,943          16,512   0.1%    2.4%                                Number of returns with taxable Social Security benefits
690            0  All returns      e26270pos         partnerscorpinc     833,430,151,000     832,941,730,024    -488,420,976  -0.1%  -18.2%                                                Partnership or S corporation net income
