
Regrown reweighted puf, lsq method, compared to IRS values, run on 2020-11-15

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

    common_stub     incrange         pufvar                  irsvar                 irs                  puf                 diff    pdiff  ipdiff                                                                    column_description
33            0  All returns       nret_all                nret_all         152,903,231        5,215,964,066        5,063,060,835  3311.3%   -4.6%                                                                     Number of returns
29            0  All returns          mars1             nret_single          73,021,932        2,434,703,700        2,361,681,768  3234.2%   -7.8%                                                   Number of returns of single persons
30            0  All returns          mars2              nret_mfjss          54,774,397        2,016,295,165        1,961,520,768  3581.1%   -2.6%  Number of returns of married persons filing jointly and returns of surviving spouses
31            0  All returns          mars3                nret_mfs           3,212,807           67,212,153           63,999,346  1992.0%  -28.1%                                Number of returns of married persons filing separately
32            0  All returns          mars4                nret_hoh          21,894,095          697,753,048          675,858,953  3086.9%    4.2%                                              Number of returns of heads of households
0             0  All returns         c00100                     agi  11,009,900,155,000  374,122,681,773,880  363,112,781,618,880  3298.1%    1.7%                                                    Adjusted gross income less deficit
15            0  All returns         e00200                   wages   7,577,563,943,000  279,584,672,244,587  272,007,108,301,587  3589.6%    1.3%                                                                    Salaries and wages
16            0  All returns     e00200_nnz              nret_wages         126,264,481        4,454,597,274        4,328,332,793  3428.0%   -4.8%                                             Number of returns with salaries and wages
17            0  All returns         e00300                  taxint     106,055,367,000    2,198,254,366,801    2,092,198,999,801  1972.7%    0.0%                                                                      Taxable interest
18            0  All returns     e00300_nnz             nret_taxint          44,193,009        1,809,632,289        1,765,439,280  3994.8%   21.0%                                               Number of returns with taxable interest
19            0  All returns         e00600                  orddiv     282,336,042,000    6,423,514,153,658    6,141,178,111,658  2175.1%    2.9%                                                                    Ordinary dividends
20            0  All returns     e00600_nnz             nret_orddiv          28,171,331        1,023,466,242          995,294,911  3533.0%    4.4%                                             Number of returns with ordinary dividends
3             0  All returns      c01000pos                 cggross     859,894,631,000    9,716,993,274,029    8,857,098,643,029  1030.0%   -0.4%                                                           Capital gains gross taxable
4             0  All returns  c01000pos_nnz            nret_cggross          13,698,506          372,454,464          358,755,958  2618.9%  -10.1%                                    Number of returns with capital gains gross taxable
1             0  All returns      c01000neg                  cgloss     -16,779,101,000     -354,792,607,524     -338,013,506,524  2014.5%  -21.8%                                                                  Capital loss taxable
2             0  All returns  c01000neg_nnz             nret_cgloss           7,471,221          182,682,755          175,211,534  2345.2%  -15.1%                                           Number of returns with capital loss taxable
21            0  All returns         e01500                pensions   1,171,791,907,000   51,845,694,645,359   50,673,902,738,359  4324.5%   -0.9%                                   Total pensions and annuities (including nontaxable)
22            0  All returns     e01500_nnz           nret_pensions          30,610,779        1,173,536,721        1,142,925,942  3733.7%   -2.8%            Number of returns with total pensions and annuities (including nontaxable)
23            0  All returns         e02400               socsectot     644,989,570,000   19,393,236,604,391   18,748,247,034,391  2906.8%  -12.2%                                                        Total Social Security benefits
24            0  All returns     e02400_nnz          nret_socsectot          28,967,603          883,250,245          854,282,642  2949.1%  -11.0%                                 Number of returns with total Social Security benefits
5             0  All returns         c02500           socsectaxable     309,539,629,000   12,549,902,952,627   12,240,363,323,627  3954.4%   -1.4%                                                      Taxable Social Security benefits
6             0  All returns     c02500_nnz      nret_socsectaxable          20,929,431          739,817,582          718,888,151  3434.8%    2.4%                               Number of returns with taxable Social Security benefits
27            0  All returns      e26270pos         partnerscorpinc     833,430,151,000   12,126,055,892,271   11,292,625,741,271  1355.0%  -18.2%                                               Partnership or S corporation net income
28            0  All returns  e26270pos_nnz    nret_partnerscorpinc           6,240,408          163,970,318          157,729,910  2527.6%   -7.2%                        Number of returns with partnership or S corporation net income
25            0  All returns      e26270neg        partnerscorploss    -153,150,406,000   -2,007,330,919,132   -1,854,180,513,132  1210.7%    7.7%                                                 Partnership or S corporation net loss
26            0  All returns  e26270neg_nnz   nret_partnerscorploss           2,872,745           90,316,383           87,443,638  3043.9%    8.1%                          Number of returns with partnership or S corporation net loss
7             0  All returns         c17000       id_medical_capped     102,533,387,000    3,162,081,355,175    3,059,547,968,175  2984.0%   -4.8%                                                        Total medical expenses, capped
8             0  All returns     c17000_nnz  nret_id_medical_capped          10,171,257          359,679,786          349,508,529  3436.2%   -3.2%                                 Number of returns with total medical expenses, capped
9             0  All returns         c18300              id_taxpaid     624,820,806,000   18,017,876,741,393   17,393,055,935,393  2783.7%    2.9%                                                                  Taxes paid deduction
10            0  All returns     c18300_nnz         nret_id_taxpaid          46,431,232        1,756,743,647        1,710,312,415  3683.5%    1.2%                                           Number of returns with taxes paid deduction
11            0  All returns         c19200              id_intpaid     313,944,112,000   12,200,085,753,955   11,886,141,641,955  3786.1%   15.1%                                                               Interest paid deduction
12            0  All returns     c19200_nnz         nret_id_intpaid          34,327,403        1,421,575,150        1,387,247,747  4041.2%    7.5%                                        Number of returns with interest paid deduction
13            0  All returns         c19700        id_contributions     256,064,685,000    7,402,812,748,886    7,146,748,063,886  2791.0%   -1.5%                                                               Contributions deduction
