
Regrown reweighted puf, lsq method, compared to IRS values, run on 2020-11-15

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

    common_stub     incrange         pufvar                  irsvar                 irs                 puf             diff   pdiff  ipdiff                                                                    column_description
33            0  All returns       nret_all                nret_all         152,903,231         152,903,231                0    0.0%   -4.6%                                                                     Number of returns
29            0  All returns          mars1             nret_single          73,021,932          73,021,932               -0   -0.0%   -7.8%                                                   Number of returns of single persons
30            0  All returns          mars2              nret_mfjss          54,774,397          54,774,397               -0   -0.0%   -2.6%  Number of returns of married persons filing jointly and returns of surviving spouses
31            0  All returns          mars3                nret_mfs           3,212,807           3,212,807               -0   -0.0%  -28.1%                                Number of returns of married persons filing separately
32            0  All returns          mars4                nret_hoh          21,894,095          21,894,096                1    0.0%    4.2%                                              Number of returns of heads of households
0             0  All returns         c00100                     agi  11,009,900,155,000  11,009,900,156,000            1,000    0.0%    1.7%                                                    Adjusted gross income less deficit
15            0  All returns         e00200                   wages   7,577,563,943,000   7,577,563,942,000           -1,000   -0.0%    1.3%                                                                    Salaries and wages
16            0  All returns     e00200_nnz              nret_wages         126,264,481         126,264,480               -1   -0.0%   -4.8%                                             Number of returns with salaries and wages
17            0  All returns         e00300                  taxint     106,055,367,000     106,055,368,000            1,000    0.0%    0.0%                                                                      Taxable interest
18            0  All returns     e00300_nnz             nret_taxint          44,193,009          44,193,008               -1   -0.0%   21.0%                                               Number of returns with taxable interest
19            0  All returns         e00600                  orddiv     282,336,042,000     282,336,042,000               -0   -0.0%    2.9%                                                                    Ordinary dividends
20            0  All returns     e00600_nnz             nret_orddiv          28,171,331          28,171,329               -2   -0.0%    4.4%                                             Number of returns with ordinary dividends
3             0  All returns      c01000pos                 cggross     859,894,631,000     859,894,632,000            1,000    0.0%   -0.4%                                                           Capital gains gross taxable
4             0  All returns  c01000pos_nnz            nret_cggross          13,698,506          13,698,504               -2   -0.0%  -10.1%                                    Number of returns with capital gains gross taxable
1             0  All returns      c01000neg                  cgloss     -16,779,101,000     -11,447,139,440    5,331,961,560  -31.8%  -21.8%                                                                  Capital loss taxable
2             0  All returns  c01000neg_nnz             nret_cgloss           7,471,221           5,607,538       -1,863,683  -24.9%  -15.1%                                           Number of returns with capital loss taxable
21            0  All returns         e01500                pensions   1,171,791,907,000   1,171,791,906,000           -1,000   -0.0%   -0.9%                                   Total pensions and annuities (including nontaxable)
22            0  All returns     e01500_nnz           nret_pensions          30,610,779          30,610,779               -0   -0.0%   -2.8%            Number of returns with total pensions and annuities (including nontaxable)
23            0  All returns         e02400               socsectot     644,989,570,000     607,407,067,130  -37,582,502,870   -5.8%  -12.2%                                                        Total Social Security benefits
24            0  All returns     e02400_nnz          nret_socsectot          28,967,603          26,106,458       -2,861,145   -9.9%  -11.0%                                 Number of returns with total Social Security benefits
5             0  All returns         c02500           socsectaxable     309,539,629,000     309,539,629,998              998    0.0%   -1.4%                                                      Taxable Social Security benefits
6             0  All returns     c02500_nnz      nret_socsectaxable          20,929,431          20,939,004            9,573    0.0%    2.4%                               Number of returns with taxable Social Security benefits
27            0  All returns      e26270pos         partnerscorpinc     833,430,151,000     801,805,810,605  -31,624,340,395   -3.8%  -18.2%                                               Partnership or S corporation net income
28            0  All returns  e26270pos_nnz    nret_partnerscorpinc           6,240,408           5,789,589         -450,819   -7.2%   -7.2%                        Number of returns with partnership or S corporation net income
25            0  All returns      e26270neg        partnerscorploss    -153,150,406,000    -215,733,622,494  -62,583,216,494   40.9%    7.7%                                                 Partnership or S corporation net loss
26            0  All returns  e26270neg_nnz   nret_partnerscorploss           2,872,745           3,220,674          347,929   12.1%    8.1%                          Number of returns with partnership or S corporation net loss
7             0  All returns         c17000       id_medical_capped     102,533,387,000      95,752,093,483   -6,781,293,517   -6.6%   -4.8%                                                        Total medical expenses, capped
