
Regrown reweighted puf, lsq method, compared to IRS values, run on 2020-11-16

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

     common_stub         pufvar              target                 puf             diff  pdiff  ipdiff                                                                    column_description
562          0.0       nret_all         152,903,231         152,903,232                1   0.0%   -4.6%                                                                     Number of returns
557          0.0          mars1          73,021,932          73,021,931               -1  -0.0%   -7.8%                                                   Number of returns of single persons
556          0.0          mars2          54,774,397          54,774,396               -1  -0.0%   -2.6%  Number of returns of married persons filing jointly and returns of surviving spouses
551          0.0          mars3           3,212,807           3,212,810                3   0.0%  -28.1%                                Number of returns of married persons filing separately
570          0.0          mars4          21,894,095          21,894,095               -0  -0.0%    4.2%                                              Number of returns of heads of households
572          0.0         c00100  11,009,900,155,000  11,009,900,156,000            1,000   0.0%    1.7%                                                    Adjusted gross income less deficit
571          0.0         e00200   7,577,563,943,000   7,577,563,942,000           -1,000  -0.0%    1.3%                                                                    Salaries and wages
561          0.0     e00200_nnz         126,264,481         126,264,480               -1  -0.0%   -4.8%                                             Number of returns with salaries and wages
559          0.0         e00300     106,055,367,000     106,055,368,000            1,000   0.0%    0.0%                                                                      Taxable interest
555          0.0     e00300_nnz          44,193,009          44,193,008               -1  -0.0%   21.0%                                               Number of returns with taxable interest
577          0.0         e00600     282,336,042,000     282,336,042,000               -0  -0.0%    2.9%                                                                    Ordinary dividends
554          0.0     e00600_nnz          28,171,331          28,171,329               -2  -0.0%    4.4%                                             Number of returns with ordinary dividends
567          0.0      c01000pos     859,894,631,000     859,894,632,000            1,000   0.0%   -0.4%                                                           Capital gains gross taxable
552          0.0  c01000pos_nnz          13,698,506          13,698,504               -2  -0.0%  -10.1%                                    Number of returns with capital gains gross taxable
576          0.0      c01000neg     -16,779,101,000     -16,779,101,000               -0   0.0%  -21.8%                                                                  Capital loss taxable
553          0.0  c01000neg_nnz           7,471,221           7,471,222                1   0.0%  -15.1%                                           Number of returns with capital loss taxable
568          0.0         e01500   1,171,791,907,000   1,171,791,906,000           -1,000  -0.0%   -0.9%                                   Total pensions and annuities (including nontaxable)
573          0.0     e01500_nnz          30,610,779          30,610,779                0   0.0%   -2.8%            Number of returns with total pensions and annuities (including nontaxable)
546          0.0         e02400     644,989,570,000     608,875,774,775  -36,113,795,225  -5.6%  -12.2%                                                        Total Social Security benefits
547          0.0     e02400_nnz          28,967,603          26,179,708       -2,787,895  -9.6%  -11.0%                                 Number of returns with total Social Security benefits
560          0.0         c02500     309,539,629,000     309,539,629,998              998   0.0%   -1.4%                                                      Taxable Social Security benefits
550          0.0     c02500_nnz          20,929,431          20,939,004            9,573   0.0%    2.4%                               Number of returns with taxable Social Security benefits
566          0.0      e26270pos     833,430,151,000     833,430,152,000            1,000   0.0%  -18.2%                                               Partnership or S corporation net income
575          0.0  e26270pos_nnz           6,240,408           6,240,408                0   0.0%   -7.2%                        Number of returns with partnership or S corporation net income
563          0.0      e26270neg    -153,150,406,000    -153,150,407,000           -1,000   0.0%    7.7%                                                 Partnership or S corporation net loss
574          0.0  e26270neg_nnz           2,872,745           2,872,745                0   0.0%    8.1%                          Number of returns with partnership or S corporation net loss
544          0.0         c17000     102,533,387,000     105,467,570,027    2,934,183,027   2.9%   -4.8%                                                        Total medical expenses, capped
545          0.0     c17000_nnz          10,171,257          10,406,929          235,672   2.3%   -3.2%                                 Number of returns with total medical expenses, capped
565          0.0         c18300     624,820,806,000     624,820,807,000            1,000   0.0%    2.9%                                                                  Taxes paid deduction
569          0.0     c18300_nnz          46,431,232          46,431,232                0   0.0%    1.2%                                           Number of returns with taxes paid deduction
564          0.0         c19200     313,944,112,000     313,944,111,000           -1,000  -0.0%   15.1%                                                               Interest paid deduction
548          0.0     c19200_nnz          34,327,403          35,191,328          863,925   2.5%    7.5%                                        Number of returns with interest paid deduction
558          0.0         c19700     256,064,685,000     256,064,682,000           -3,000  -0.0%   -1.5%                                                               Contributions deduction
