
REPORT: puf.csv with custom stage1 growfactors, advanced to 2017 with tax-calculator stage 2 weights, no stage3, THEN reweighted and geo reweighted

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

    common_stub     incrange         pufvar                  irsvar                 irs                 puf             diff   pdiff                                                                    column_description
0             0  All returns       nret_all                nret_all         152,903,231         152,903,231                0    0.0%                                                                     Number of returns
1             0  All returns          mars1             nret_single          73,021,932          73,021,932               -0   -0.0%                                                   Number of returns of single persons
2             0  All returns          mars2              nret_mfjss          54,774,397          54,774,397               -0   -0.0%  Number of returns of married persons filing jointly and returns of surviving spouses
3             0  All returns          mars3                nret_mfs           3,212,807           3,408,716          195,909    6.1%                                Number of returns of married persons filing separately
4             0  All returns          mars4                nret_hoh          21,894,095          21,698,186         -195,909   -0.9%                                              Number of returns of heads of households
5             0  All returns         c00100                     agi  11,009,900,155,000  11,009,900,156,000            1,000    0.0%                                                    Adjusted gross income less deficit
6             0  All returns         e00200                   wages   7,577,563,943,000   7,577,563,942,000           -1,000   -0.0%                                                                    Salaries and wages
7             0  All returns     e00200_nnz              nret_wages         126,264,481         126,264,480               -1   -0.0%                                             Number of returns with salaries and wages
8             0  All returns         e00300                  taxint     106,055,367,000     106,055,368,000            1,000    0.0%                                                                      Taxable interest
9             0  All returns     e00300_nnz             nret_taxint          44,193,009          44,193,008               -1   -0.0%                                               Number of returns with taxable interest
10            0  All returns         e00600                  orddiv     282,336,042,000     282,336,042,000                0    0.0%                                                                    Ordinary dividends
11            0  All returns     e00600_nnz             nret_orddiv          28,171,331          28,171,329               -2   -0.0%                                             Number of returns with ordinary dividends
12            0  All returns      c01000pos                 cggross     859,894,631,000     969,779,193,142  109,884,562,142   12.8%                                                           Capital gains gross taxable
13            0  All returns  c01000pos_nnz            nret_cggross          13,698,506          15,743,105        2,044,599   14.9%                                    Number of returns with capital gains gross taxable
14            0  All returns      c01000neg                  cgloss     -16,779,101,000     -22,526,733,973   -5,747,632,973   34.3%                                                                  Capital loss taxable
15            0  All returns  c01000neg_nnz             nret_cgloss           7,471,221           9,331,880        1,860,659   24.9%                                           Number of returns with capital loss taxable
16            0  All returns         e01500                pensions   1,171,791,907,000   1,186,147,793,493   14,355,886,493    1.2%                                   Total pensions and annuities (including nontaxable)
17            0  All returns     e01500_nnz           nret_pensions          30,610,779          33,270,969        2,660,190    8.7%            Number of returns with total pensions and annuities (including nontaxable)
18            0  All returns         e02400               socsectot     644,989,570,000     854,814,415,502  209,824,845,502   32.5%                                                        Total Social Security benefits
19            0  All returns     e02400_nnz          nret_socsectot          28,967,603          34,841,159        5,873,556   20.3%                                 Number of returns with total Social Security benefits
20            0  All returns         c02500           socsectaxable     309,539,629,000     372,464,710,160   62,925,081,160   20.3%                                                      Taxable Social Security benefits
21            0  All returns     c02500_nnz      nret_socsectaxable          20,929,431          23,025,033        2,095,602   10.0%                               Number of returns with taxable Social Security benefits
22            0  All returns      e26270pos         partnerscorpinc     833,430,151,000     750,222,121,147  -83,208,029,853  -10.0%                                               Partnership or S corporation net income
23            0  All returns  e26270pos_nnz    nret_partnerscorpinc           6,240,408           6,977,459          737,051   11.8%                        Number of returns with partnership or S corporation net income
24            0  All returns      e26270neg        partnerscorploss    -153,150,406,000    -139,230,668,748   13,919,737,252   -9.1%                                                 Partnership or S corporation net loss
25            0  All returns  e26270neg_nnz   nret_partnerscorploss           2,872,745           3,298,754          426,009   14.8%                          Number of returns with partnership or S corporation net loss
26            0  All returns         c17000       id_medical_capped     102,533,387,000      95,834,306,282   -6,699,080,718   -6.5%                                                        Total medical expenses, capped
27            0  All returns     c17000_nnz  nret_id_medical_capped          10,171,257           9,658,461         -512,796   -5.0%                                 Number of returns with total medical expenses, capped
28            0  All returns         c18300              id_taxpaid     624,820,806,000     624,626,748,853     -194,057,147   -0.0%                                                                  Taxes paid deduction
29            0  All returns     c18300_nnz         nret_id_taxpaid          46,431,232          46,415,565          -15,667   -0.0%                                           Number of returns with taxes paid deduction
30            0  All returns         c19200              id_intpaid     313,944,112,000     287,632,898,971  -26,311,213,029   -8.4%                                                               Interest paid deduction
31            0  All returns     c19200_nnz         nret_id_intpaid          34,327,403          32,181,909       -2,145,494   -6.3%                                        Number of returns with interest paid deduction
32            0  All returns         c19700        id_contributions     256,064,685,000     290,664,889,727   34,600,204,727   13.5%                                                               Contributions deduction
33            0  All returns     c19700_nnz   nret_id_contributions          37,979,015          37,606,621         -372,394   -1.0%                                        Number of returns with contributions deduction

2. Detailed report by AGI range for each variable:

     common_stub                      incrange    pufvar    irsvar          irs          puf      diff   pdiff column_description
0              0                   All returns  nret_all  nret_all  152,903,231  152,903,231         0    0.0%  Number of returns
34             1                  Under $5,000  nret_all  nret_all   11,782,422   11,398,051  -384,371   -3.3%  Number of returns
68             2          $5,000 under $10,000  nret_all  nret_all   10,789,563   11,173,934   384,371    3.6%  Number of returns
102            3         $10,000 under $15,000  nret_all  nret_all   11,594,637   12,051,972   457,335    3.9%  Number of returns
136            4         $15,000 under $20,000  nret_all  nret_all   10,665,270    9,978,539  -686,731   -6.4%  Number of returns
170            5         $20,000 under $25,000  nret_all  nret_all    9,983,829   10,213,225   229,396    2.3%  Number of returns
204            6         $25,000 under $30,000  nret_all  nret_all    8,824,548    8,760,180   -64,368   -0.7%  Number of returns
238            7         $30,000 under $40,000  nret_all  nret_all   15,209,009   15,512,142   303,133    2.0%  Number of returns
272            8         $40,000 under $50,000  nret_all  nret_all   11,915,599   11,676,833  -238,766   -2.0%  Number of returns
