
REPORT: puf.csv, regrown, to 2017 w/ tc weights no stage3, reweighted, then TPC geoweights and reweighting

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

    common_stub     incrange         pufvar                  irsvar                 irs                 puf            diff  pdiff                                                                    column_description
0             0  All returns       nret_all                nret_all         152,903,231         152,903,231               0   0.0%                                                                     Number of returns
1             0  All returns          mars1             nret_single          73,021,932          73,021,932              -0  -0.0%                                                   Number of returns of single persons
2             0  All returns          mars2              nret_mfjss          54,774,397          54,774,397              -0  -0.0%  Number of returns of married persons filing jointly and returns of surviving spouses
3             0  All returns          mars3                nret_mfs           3,212,807           3,212,807              -0  -0.0%                                Number of returns of married persons filing separately
4             0  All returns          mars4                nret_hoh          21,894,095          21,894,096               1   0.0%                                              Number of returns of heads of households
5             0  All returns         c00100                     agi  11,009,900,155,000  11,009,900,156,000           1,000   0.0%                                                    Adjusted gross income less deficit
6             0  All returns         e00200                   wages   7,577,563,943,000   7,577,563,942,000          -1,000  -0.0%                                                                    Salaries and wages
7             0  All returns     e00200_nnz              nret_wages         126,264,481         126,264,480              -1  -0.0%                                             Number of returns with salaries and wages
8             0  All returns         e00300                  taxint     106,055,367,000     106,055,368,000           1,000   0.0%                                                                      Taxable interest
9             0  All returns     e00300_nnz             nret_taxint          44,193,009          44,193,008              -1  -0.0%                                               Number of returns with taxable interest
10            0  All returns         e00600                  orddiv     282,336,042,000     282,336,042,000              -0  -0.0%                                                                    Ordinary dividends
11            0  All returns     e00600_nnz             nret_orddiv          28,171,331          28,171,329              -2  -0.0%                                             Number of returns with ordinary dividends
12            0  All returns      c01000pos                 cggross     859,894,631,000     859,894,632,000           1,000   0.0%                                                           Capital gains gross taxable
13            0  All returns  c01000pos_nnz            nret_cggross          13,698,506          13,698,504              -2  -0.0%                                    Number of returns with capital gains gross taxable
14            0  All returns      c01000neg                  cgloss     -16,779,101,000     -16,779,101,000               0  -0.0%                                                                  Capital loss taxable
15            0  All returns  c01000neg_nnz             nret_cgloss           7,471,221           7,471,222               1   0.0%                                           Number of returns with capital loss taxable
16            0  All returns         e01500                pensions   1,171,791,907,000   1,171,791,906,000          -1,000  -0.0%                                   Total pensions and annuities (including nontaxable)
17            0  All returns     e01500_nnz           nret_pensions          30,610,779          30,610,779              -0  -0.0%            Number of returns with total pensions and annuities (including nontaxable)
18            0  All returns         e02400               socsectot     644,989,570,000     644,988,071,977      -1,498,023  -0.0%                                                        Total Social Security benefits
19            0  All returns     e02400_nnz          nret_socsectot          28,967,603          28,965,920          -1,683  -0.0%                                 Number of returns with total Social Security benefits
20            0  All returns         c02500           socsectaxable     309,539,629,000     309,541,392,378       1,763,378   0.0%                                                      Taxable Social Security benefits
21            0  All returns     c02500_nnz      nret_socsectaxable          20,929,431          20,940,394          10,963   0.1%                               Number of returns with taxable Social Security benefits
22            0  All returns      e26270pos         partnerscorpinc     833,430,151,000     833,430,152,000           1,000   0.0%                                               Partnership or S corporation net income
23            0  All returns  e26270pos_nnz    nret_partnerscorpinc           6,240,408           6,240,408              -0  -0.0%                        Number of returns with partnership or S corporation net income
24            0  All returns      e26270neg        partnerscorploss    -153,150,406,000    -153,150,407,000          -1,000   0.0%                                                 Partnership or S corporation net loss
25            0  All returns  e26270neg_nnz   nret_partnerscorploss           2,872,745           2,872,745              -0  -0.0%                          Number of returns with partnership or S corporation net loss
26            0  All returns         c17000       id_medical_capped     102,533,387,000      93,368,918,557  -9,164,468,443  -8.9%                                                        Total medical expenses, capped
27            0  All returns     c17000_nnz  nret_id_medical_capped          10,171,257           9,414,542        -756,715  -7.4%                                 Number of returns with total medical expenses, capped
28            0  All returns         c18300              id_taxpaid     624,820,806,000     624,820,807,000           1,000   0.0%                                                                  Taxes paid deduction
29            0  All returns     c18300_nnz         nret_id_taxpaid          46,431,232          46,431,232              -0  -0.0%                                           Number of returns with taxes paid deduction
30            0  All returns         c19200              id_intpaid     313,944,112,000     313,944,111,000          -1,000  -0.0%                                                               Interest paid deduction
31            0  All returns     c19200_nnz         nret_id_intpaid          34,327,403          34,327,401              -2  -0.0%                                        Number of returns with interest paid deduction
32            0  All returns         c19700        id_contributions     256,064,685,000     255,403,697,911    -660,987,089  -0.3%                                                               Contributions deduction
33            0  All returns     c19700_nnz   nret_id_contributions          37,979,015          37,936,871         -42,144  -0.1%                                        Number of returns with contributions deduction

2. Detailed report by AGI range for each variable:

     common_stub                      incrange    pufvar    irsvar          irs          puf diff  pdiff column_description
0              0                   All returns  nret_all  nret_all  152,903,231  152,903,231    0   0.0%  Number of returns
34             1                  Under $5,000  nret_all  nret_all   11,782,422   11,782,422    0   0.0%  Number of returns
68             2          $5,000 under $10,000  nret_all  nret_all   10,789,563   10,789,563   -0  -0.0%  Number of returns
102            3         $10,000 under $15,000  nret_all  nret_all   11,594,637   11,594,637   -0  -0.0%  Number of returns
136            4         $15,000 under $20,000  nret_all  nret_all   10,665,270   10,665,270   -0  -0.0%  Number of returns
170            5         $20,000 under $25,000  nret_all  nret_all    9,983,829    9,983,829   -0  -0.0%  Number of returns
204            6         $25,000 under $30,000  nret_all  nret_all    8,824,548    8,824,548    0   0.0%  Number of returns
238            7         $30,000 under $40,000  nret_all  nret_all   15,209,009   15,209,009   -0  -0.0%  Number of returns
272            8         $40,000 under $50,000  nret_all  nret_all   11,915,599   11,915,599   -0  -0.0%  Number of returns
306            9         $50,000 under $75,000  nret_all  nret_all   20,958,446   20,958,446   -0  -0.0%  Number of returns
